,tokens,ner_tags,pred
292,BERT,B-MethodName,B-MethodName
293,-,O,I-MethodName
294,based,O,O
295,models,O,O
296,(,O,O
297,Devlin,O,O
298,et,O,O
299,al,O,O
300,.,O,O
301,",",O,O
302,2019,O,O
303,),O,O
304,",",O,O
305,including,O,O
306,knowledge,O,B-TaskName
307,distilation,O,O
308,(,O,O
309,Hinton,O,O
310,et,O,O
311,al,O,O
312,.,O,O
313,",",O,O
314,2015,O,O
315,;,O,O
316,Sanh,O,O
317,et,O,O
318,al,O,O
319,.,O,O
320,",",O,O
321,2019,O,O
322,;,O,O
323,Sun,O,O
324,et,O,O
325,al,O,O
326,.,O,O
327,",",O,O
328,2019,O,O
329,",",O,O
330,2020,O,O
331,;,O,O
332,Jiao,O,O
333,et,O,O
334,al,O,O
335,.,O,O
336,",",O,O
337,2020,O,O
338,),O,O
339,",",O,O
340,quantization,O,O
341,(,O,O
342,Gong,O,O
343,et,O,O
344,al,O,O
345,.,O,O
346,",",O,O
347,2014,O,O
348,;,O,O
349,Shen,O,O
350,et,O,O
351,al,O,O
352,.,O,O
353,",",O,O
354,2020,O,O
355,;,O,O
356,Tambe,O,O
357,et,O,O
358,al,O,O
359,.,O,O
360,",",O,O
361,2021,O,O
362,),O,O
363,",",O,O
364,weightpruning,O,O
365,(,O,O
366,Han,O,O
367,et,O,O
368,al,O,O
369,.,O,O
370,",",O,O
371,2016,O,O
372,;,O,O
373,He,O,O
374,et,O,O
375,al,O,O
376,.,O,O
377,",",O,O
378,2017,O,B-DatasetName
379,;,O,O
380,Michel,O,O
381,et,O,O
382,al,O,O
383,.,O,O
384,",",O,O
385,2019,O,O
386,;,O,O
387,Sanh,O,O
388,et,O,O
389,al,O,O
390,.,O,O
391,",",O,O
392,2020,O,O
393,),O,O
394,",",O,O
395,and,O,O
396,progressive,O,O
397,module,O,O
398,replacing,O,O
399,(,O,O
400,Xu,O,O
401,et,O,O
402,al,O,O
403,.,O,O
404,",",O,O
405,2020,O,O
406,),O,O
407,.,O,O
408,Despite,O,O
409,pro-,O,O
410,viding,O,O
411,significant,O,O
412,reduction,O,O
413,in,O,O
414,model,O,O
415,size,O,O
416,",",O,O
417,these,O,O
418,techniques,O,O
419,are,O,O
420,generally,O,O
421,static,O,O
422,at,O,O
423,inference,O,O
424,time,O,O
425,",",O,O
426,i.e.,O,O
427,",",O,O
428,they,O,O
429,dedicate,O,O
430,the,O,O
431,same,O,O
432,amount,O,O
433,of,O,O
434,computation,O,O
435,to,O,O
436,all,O,O
437,inputs,O,O
438,",",O,O
439,irrespective,O,O
440,of,O,O
441,their,O,O
442,difficulty,O,O
443,.,O,O
444,A,O,O
445,number,O,O
446,of,O,O
447,techniques,O,O
448,have,O,O
449,been,O,O
450,also,O,O
451,proposed,O,O
452,in,O,O
453,order,O,O
454,to,O,O
455,make,O,O
456,efficiency,O,O
457,enhancement,O,O
458,sensitive,O,O
459,to,O,O
460,inputs,O,O
461,.,O,O
462,Early,O,O
463,exit,O,O
464,mechanism,O,O
465,(,O,O
466,Schwartz,O,O
467,et,O,O
468,al,O,O
469,.,O,O
470,",",O,O
471,2020b,O,O
472,;,O,O
473,Liao,O,O
474,et,O,O
475,al,O,O
476,.,O,O
477,",",O,O
478,2021,O,O
479,;,O,O
480,Xin,O,O
481,et,O,O
482,al,O,O
483,.,O,O
484,",",O,O
485,2020,O,O
486,;,O,O
487,Liu,O,O
488,et,O,O
489,al,O,O
490,.,O,O
491,",",O,O
492,2020,O,O
493,;,O,O
494,Xin,O,O
495,et,O,O
496,al,O,O
497,.,O,O
498,",",O,O
499,2021,O,O
500,;,O,O
501,Sun,O,O
502,et,O,O
503,al,O,O
504,.,O,O
505,",",O,O
506,2021,O,O
507,;,O,O
508,Eyza-,O,O
509,guirre,O,O
510,et,O,O
511,al,O,O
512,.,O,O
513,",",O,O
514,2021,O,O
515,),O,O
516,is,O,O
517,a,O,O
518,commonly,O,O
519,used,O,O
520,method,O,O
521,in,O,O
522,which,O,O
523,each,O,O
524,layer,O,O
525,in,O,O
526,the,O,O
527,model,O,O
528,is,O,O
529,coupled,O,O
530,with,O,O
531,an,O,O
532,intermediate,O,O
533,classifier,O,O
534,to,O,O
535,predict,O,O
536,the,O,O
537,target,O,O
538,la-,O,O
539,bel,O,O
540,.,O,O
541,At,O,O
542,inference,O,O
543,",",O,O
544,a,O,O
545,halting,O,O
546,condition,O,O
547,is,O,O
548,used,O,O
549,to,O,O
550,determine,O,O
551,whether,O,O
552,the,O,O
553,model,O,O
554,allows,O,O
555,an,O,O
556,example,O,O
557,to,O,O
558,exit,O,O
559,without,O,O
560,passing,O,O
561,through,O,O
562,all,O,O
563,layers,O,B-HyperparameterName
564,.,O,O
565,Vari-,O,O
566,ous,O,O
567,halting,O,O
568,conditions,O,O
569,have,O,O
570,been,O,O
571,proposed,O,O
572,",",O,O
573,includ-,O,O
574,ing,O,O
575,Shannon,O,O
576,’s,O,O
577,entropy,O,O
578,(,O,O
579,Xin,O,O
580,et,O,O
581,al,O,O
582,.,O,O
583,",",O,O
584,2020,O,O
585,;,O,O
586,Liu,O,O
587,et,O,O
588,al,O,O
589,.,O,O
590,",",O,O
591,2020,O,O
592,),O,O
593,",",O,O
594,softmax,O,O
595,outputs,O,O
596,with,O,O
597,temperature,O,B-HyperparameterName
598,calibra-,O,O
599,tion,O,O
600,(,O,O
601,Schwartz,O,O
602,et,O,O
603,al,O,O
604,.,O,O
605,",",O,O
606,2020b,O,O
607,),O,O
608,",",O,O
609,trained,O,O
610,confidence,O,O
611,predictors,O,O
612,(,O,O
613,Xin,O,O
614,et,O,O
615,al,O,O
616,.,O,O
617,",",O,O
618,2021,O,O
619,),O,O
620,",",O,O
621,or,O,O
622,the,O,O
623,number,O,O
624,of,O,O
625,agree-,O,O
626,ments,O,O
627,between,O,O
628,predictions,O,O
629,of,O,O
630,intermediate,O,O
631,classi-,O,O
632,fiers,O,O
633,(,O,O
634,Zhou,O,O
635,et,O,O
636,al,O,O
637,.,O,O
638,",",O,O
639,2020,O,O
640,),O,O
641,.,O,O
642,Most,O,O
643,of,O,O
644,these,O,O
645,input,O,O
646,-,O,O
647,adaptive,O,O
648,techniques,O,O
649,com-,O,O
650,press,O,O
651,the,O,O
652,model,O,O
653,from,O,O
654,the,O,O
655,depth,O,O
656,perspective,O,O
657,(,O,O
658,i.e.,O,O
659,",",O,O
660,reducing,O,O
661,the,O,O
662,number,O,O
663,of,O,O
664,involved,O,O
665,encoder,O,O
666,layers,O,B-HyperparameterName
667,),O,O
668,.,O,O
669,However,O,O
670,",",O,O
671,one,O,O
672,can,O,O
673,view,O,O
674,compression,O,O
675,from,O,O
676,the,O,O
677,width,O,O
678,perspective,O,O
679,(,O,O
680,Goyal,O,O
681,et,O,O
682,al,O,O
683,.,O,O
684,",",O,O
685,2020,O,O
686,;,O,O
687,Ye,O,O
688,et,O,O
689,al,O,O
690,.,O,O
691,",",O,O
692,2021,O,O
693,),O,O
694,",",O,O
695,i.e.,O,O
696,",",O,O
697,reducing,O,O
698,the,O,O
699,length,O,O
700,of,O,O
701,hidden,O,B-HyperparameterName
702,states,O,O
703,.,O,O
704,(,O,O
705,Ethayarajh,O,O
706,",",O,O
707,2019,O,O
708,;,O,O
709,Klafka,O,O
710,and,O,O
711,Ettinger,O,O
712,",",O,O
713,2020,O,O
714,),O,O
715,.,O,O
716,This,O,O
717,is,O,O
718,particularly,O,O
719,promising,O,O
720,as,O,O
721,recent,O,O
722,analytical,O,O
723,studies,O,O
724,showed,O,O
725,that,O,O
726,there,O,O
727,are,O,O
728,redundant,O,O
729,encoded,O,O
730,information,O,O
731,in,O,O
732,token,O,O
733,representations,O,O
734,(,O,O
735,Klafka,O,O
736,and,O,O
737,Ettinger,O,O
738,",",O,O
739,2020,O,O
740,;,O,O
741,Ethayarajh,O,O
742,",",O,O
743,2019,O,O
744,),O,O
745,.,O,O
746,Among,O,O
747,these,O,O
748,redundancies,O,O
749,",",O,O
750,some,O,O
751,tokens,O,B-HyperparameterName
752,carry,O,O
753,more,O,O
754,task,O,O
755,-,O,O
756,specific,O,O
757,information,O,O
758,than,O,O
759,others,O,O
760,(,O,O
761,Mohebbi,O,O
762,et,O,O
763,al,O,O
764,.,O,O
765,",",O,O
766,2021,O,O
767,),O,O
768,",",O,O
769,suggesting,O,O
770,that,O,O
771,only,O,O
772,these,O,O
773,tokens,O,B-HyperparameterName
774,could,O,I-HyperparameterName
775,be,O,O
776,con-,O,O
777,sidered,O,O
778,through,O,O
779,the,O,O
780,model,O,O
781,.,O,O
782,Moreover,O,O
783,",",O,O
784,in,O,O
785,contrast,O,O
786,to,O,O
787,layer,O,O
788,-,O,O
789,wise,O,O
790,pruning,O,O
791,",",O,O
792,token,O,O
793,-,O,O
794,level,O,O
795,pruning,O,O
796,does,O,O
797,not1come,O,O
798,at,O,O
799,the,O,O
800,cost,O,O
801,of,O,O
802,reducing,O,O
803,model,O,O
804,’s,O,O
805,capacity,O,O
806,in,O,O
807,complex,O,O
808,reasoning,O,O
809,(,O,O
810,Sanh,O,O
811,et,O,O
812,al,O,O
813,.,O,O
814,",",O,O
815,2019,O,O
816,;,O,O
817,Sun,O,O
818,et,O,O
819,al,O,O
820,.,O,O
821,",",O,O
822,2019,O,O
823,),O,O
824,.,O,O
825,PoWER,B-MethodName,B-MethodName
826,-,I-MethodName,I-MethodName
827,BERT,I-MethodName,B-MethodName
828,(,O,O
829,Goyal,O,O
830,et,O,O
831,al,O,O
832,.,O,O
833,",",O,O
834,2020,O,O
835,),O,O
836,is,O,O
837,one,O,O
838,of,O,O
839,the,O,O
840,first,O,O
841,such,O,O
842,techniques,O,O
843,which,O,O
844,reduces,O,O
845,inference,O,O
846,time,O,O
847,by,O,O
848,eliminating,O,O
849,redundant,O,O
850,token,O,O
851,representa-,O,O
852,tions,O,O
853,through,O,O
854,layers,O,B-HyperparameterName
855,based,O,O
856,on,O,O
857,self,O,B-TaskName
858,-,O,O
859,attention,O,B-HyperparameterName
860,weights,O,B-HyperparameterName
861,.,O,O
862,Several,O,O
863,studies,O,O
864,have,O,O
865,followed,O,O
866,(,O,O
867,Kim,O,O
868,and,O,O
869,Cho,O,O
870,",",O,O
871,2021,O,O
872,;,O,O
873,Wang,O,O
874,et,O,O
875,al,O,O
876,.,O,O
877,",",O,O
878,2021,O,O
879,),O,O
880,;,O,O
881,However,O,O
882,",",O,O
883,they,O,O
884,usually,O,O
885,optimize,O,O
886,a,O,O
887,single,O,O
888,token,O,O
889,elimination,O,O
890,configuration,O,O
891,across,O,O
892,the,O,O
893,entire,O,O
894,dataset,O,O
895,",",O,O
896,resulting,O,O
897,in,O,O
898,a,O,O
899,static,O,O
900,model,O,O
901,.,O,O
902,In,O,O
903,addi-,O,O
904,tion,O,O
905,",",O,O
906,their,O,O
907,token,O,O
908,selection,O,O
909,strategies,O,O
910,are,O,O
911,based,O,O
912,on,O,O
913,attention,O,B-HyperparameterName
914,weights,O,B-HyperparameterName
915,which,O,O
916,can,O,O
917,result,O,O
918,in,O,O
919,a,O,O
920,suboptimal,O,O
921,solution,O,O
922,(,O,O
923,Ye,O,O
924,et,O,O
925,al,O,O
926,.,O,O
927,",",O,O
928,2021,O,O
929,),O,O
930,.,O,O
931,In,O,O
932,this,O,O
933,work,O,O
934,",",O,O
935,we,O,O
936,introduce,O,O
937,Adap,B-MethodName,B-MethodName
938,tiveLength,I-MethodName,I-MethodName
939,Reduction,I-MethodName,I-MethodName
940,(,O,O
941,AdapLeR,B-MethodName,B-MethodName
942,),O,O
943,.,O,O
944,Instead,O,O
945,of,O,O
946,relying,O,O
947,on,O,O
948,at-,O,O
949,tention,O,O
950,weights,O,B-HyperparameterName
951,",",O,O
952,our,O,O
953,method,O,O
954,trains,O,O
955,a,O,O
956,set,O,O
957,of,O,O
958,Contri-,B-MethodName,B-MethodName
959,bution,I-MethodName,I-MethodName
960,Predictors,I-MethodName,I-MethodName
961,(,O,O
962,CP,O,B-MethodName
963,),O,O
964,to,O,O
965,estimate,O,O
966,tokens,O,B-HyperparameterName
967,’,O,O
968,saliency,O,O
969,scores,O,O
970,at,O,O
971,inference,O,O
972,.,O,O
973,We,O,O
974,show,O,O
975,that,O,O
976,this,O,O
977,choice,O,O
978,re-,O,O
979,sults,O,O
980,in,O,O
981,more,O,O
982,reliable,O,O
983,scores,O,O
984,than,O,O
985,attention,O,B-HyperparameterName
986,weights,O,B-HyperparameterName
987,in,O,O
988,measuring,O,O
989,tokens,O,B-HyperparameterName
990,’,O,O
991,contributions,O,O
992,.,O,O
993,The,O,O
994,most,O,O
995,re-,O,O
996,lated,O,O
997,study,O,O
998,to,O,O
999,ours,O,O
1000,is,O,O
1001,TR,B-MethodName,B-MethodName
1002,-,I-MethodName,I-MethodName
1003,BERT,I-MethodName,B-MethodName
1004,(,O,O
1005,Ye,O,O
1006,et,O,O
1007,al,O,O
1008,.,O,O
1009,",",O,O
1010,2021,O,O
1011,),O,O
1012,which,O,O
1013,leverages,O,O
1014,reinforcement,O,O
1015,learning,O,B-HyperparameterName
1016,to,O,O
1017,develop,O,O
1018,an,O,O
1019,input,O,O
1020,-,O,O
1021,adaptive,O,O
1022,token,O,O
1023,selection,O,O
1024,policy,O,O
1025,network,O,O
1026,.,O,O
1027,However,O,O
1028,",",O,O
1029,as,O,O
1030,pointed,O,O
1031,out,O,O
1032,by,O,O
1033,the,O,O
1034,authors,O,O
1035,",",O,O
1036,the,O,O
1037,prob-,O,O
1038,lem,O,O
1039,has,O,O
1040,a,O,O
1041,large,O,O
1042,search,O,O
1043,space,O,O
1044,",",O,O
1045,making,O,O
1046,it,O,O
1047,difficult,O,O
1048,for,O,O
1049,RL,O,B-MethodName
1050,to,O,O
1051,solve,O,O
1052,.,O,O
1053,To,O,O
1054,mitigate,O,O
1055,this,O,O
1056,",",O,O
1057,they,O,O
1058,resorted,O,O
1059,to,O,O
1060,extra,O,O
1061,heuristics,O,O
1062,such,O,O
1063,as,O,O
1064,imitation,B-TaskName,B-TaskName
1065,learning,I-TaskName,B-HyperparameterName
1066,(,O,O
1067,Hussein,O,O
1068,et,O,O
1069,al,O,O
1070,.,O,O
1071,",",O,O
1072,2017,O,B-DatasetName
1073,),O,O
1074,for,O,O
1075,warming,O,O
1076,up,O,O
1077,the,O,O
1078,training,O,O
1079,of,O,O
1080,the,O,O
1081,policy,O,O
1082,net-,O,O
1083,work,O,O
1084,",",O,O
1085,action,O,O
1086,sampling,O,O
1087,for,O,O
1088,limiting,O,O
1089,the,O,O
1090,search,O,O
1091,space,O,O
1092,",",O,O
1093,and,O,O
1094,knowledge,B-TaskName,B-TaskName
1095,distillation,I-TaskName,I-TaskName
1096,for,O,O
1097,transferring,O,O
1098,knowl-,O,O
1099,edge,O,O
1100,from,O,O
1101,the,O,O
1102,intact,O,O
1103,backbone,O,O
1104,fine,O,B-TaskName
1105,-,O,O
1106,tuned,O,B-MethodName
1107,model,O,O
1108,.,O,O
1109,All,O,B-MetricName
1110,of,O,O
1111,these,O,O
1112,steps,O,O
1113,significantly,O,O
1114,increase,O,O
1115,the,O,O
1116,train-,O,O
1117,ing,O,O
1118,cost,O,O
1119,.,O,O
1120,Hence,O,O
1121,",",O,O
1122,they,O,O
1123,only,O,O
1124,perform,O,O
1125,token,O,O
1126,selection,O,O
1127,at,O,O
1128,two,O,B-HyperparameterValue
1129,layers,O,B-HyperparameterName
1130,.,O,O
1131,In,O,O
1132,contrast,O,O
1133,",",O,O
1134,we,O,O
1135,propose,O,O
1136,a,O,O
1137,simple,O,O
1138,but,O,O
1139,effective,O,O
1140,method,O,O
1141,to,O,O
1142,gradually,O,O
1143,eliminate,O,O
1144,tokens,O,B-HyperparameterName
1145,in,O,O
1146,each,O,O
1147,layer,O,O
1148,throughout,O,O
1149,the,O,O
1150,training,O,O
1151,phase,O,O
1152,using,O,O
1153,a,O,O
1154,soft,O,O
1155,-,O,O
1156,removal,O,O
1157,function,O,O
1158,which,O,O
1159,allows,O,O
1160,the,O,O
1161,model,O,O
1162,to,O,O
1163,be,O,O
1164,adaptable,O,O
1165,to,O,O
1166,various,O,O
1167,inputs,O,O
1168,in,O,O
1169,a,O,O
1170,batch,O,B-HyperparameterName
1171,-,O,O
1172,wise,O,O
1173,mode,O,O
1174,.,O,O
1175,It,O,O
1176,is,O,O
1177,also,O,O
1178,worth,O,O
1179,noting,O,O
1180,in,O,O
1181,contrast,O,O
1182,to,O,O
1183,our,O,O
1184,ap-,O,O
1185,proach,O,O
1186,above,O,O
1187,studies,O,O
1188,are,O,O
1189,based,O,O
1190,on,O,O
1191,top,O,O
1192,-,O,O
1193,k,O,O
1194,operations,O,O
1195,for,O,O
1196,identifying,O,O
1197,the,O,O
1198,k,O,O
1199,most,O,O
1200,important,O,O
1201,tokens,O,B-HyperparameterName
1202,during,O,O
1203,training,O,O
1204,or,O,O
1205,inference,O,O
1206,",",O,O
1207,which,O,O
1208,can,O,O
1209,be,O,O
1210,expensive,O,O
1211,with-,O,O
1212,out,O,O
1213,a,O,O
1214,specific,O,O
1215,hardware,O,O
1216,architecture,O,O
1217,(,O,O
1218,Wang,O,O
1219,et,O,O
1220,al,O,O
1221,.,O,O
1222,",",O,O
1223,2021,O,O
1224,),O,O
1225,.,O,O
1226,In,O,O
1227,summary,O,O
1228,",",O,O
1229,our,O,O
1230,contributions,O,O
1231,are,O,O
1232,threefold,O,O
1233,:,O,O
1234,•We,O,O
1235,couple,O,O
1236,a,O,O
1237,simple,O,O
1238,Contribution,B-MethodName,B-MethodName
1239,Predictor,I-MethodName,I-MethodName
1240,(,O,O
1241,CP,O,B-MethodName
1242,),O,O
1243,with,O,O
1244,each,O,O
1245,layer,O,O
1246,of,O,O
1247,the,O,O
1248,model,O,O
1249,to,O,O
1250,estimate,O,O
1251,tokens,O,B-HyperparameterName
1252,’,O,O
1253,contribution,O,O
1254,scores,O,O
1255,to,O,O
1256,eliminate,O,O
1257,redun-,O,O
1258,dant,O,O
1259,representations,O,O
1260,.,O,O
1261,•Instead,O,O
1262,of,O,O
1263,an,O,O
1264,instant,O,O
1265,token,O,O
1266,removal,O,O
1267,",",O,O
1268,we,O,O
1269,grad-,O,O
1270,ually,O,O
1271,mask,O,B-HyperparameterName
1272,out,O,O
1273,less,O,O
1274,contributing,O,O
1275,token,O,O
1276,repre,O,O
1277,-,O,O
1278,sentations,O,O
1279,by,O,O
1280,employing,O,O
1281,a,O,O
1282,novel,O,O
1283,soft,O,O
1284,-,O,O
1285,removal,O,O
1286,function,O,O
1287,.,O,O
1288,•We,O,O
1289,also,O,O
1290,show,O,O
1291,the,O,O
1292,superiority,O,O
1293,of,O,O
1294,our,O,O
1295,token,O,O
1296,selection,O,O
1297,strategy,O,O
1298,over,O,O
1299,the,O,O
1300,other,O,O
1301,widely,O,O
1302,used,O,O
1303,strategies,O,O
1304,by,O,O
1305,using,O,O
1306,human,O,B-MetricName
1307,rationales,O,O
1308,.,O,O
1309,2,O,O
1310,Background,O,O
1311,2.1,O,B-MetricValue
1312,Self,O,O
1313,-,O,O
1314,attention,O,B-HyperparameterName
1315,Weights,O,O
1316,Self,O,O
1317,-,O,O
1318,attention,O,B-HyperparameterName
1319,is,O,O
1320,a,O,O
1321,core,O,O
1322,component,O,O
1323,of,O,O
1324,the,O,O
1325,Trans-,O,B-HyperparameterName
1326,formers,O,O
1327,(,O,O
1328,Vaswani,O,O
1329,et,O,O
1330,al,O,O
1331,.,O,O
1332,",",O,O
1333,2017,O,B-DatasetName
1334,),O,O
1335,which,O,O
1336,looks,O,O
1337,for,O,O
1338,the,O,O
1339,relation,O,B-TaskName
1340,between,O,O
1341,different,O,O
1342,positions,O,O
1343,of,O,O
1344,a,O,O
1345,sin-,O,O
1346,gle,O,O
1347,sequence,O,O
1348,of,O,O
1349,token,O,O
1350,representations,O,O
1351,(,O,O
1352,x,O,O
1353,",",O,O
1354,...,O,O
1355,",",O,O
1356,x,O,O
1357,),O,O
1358,to,O,O
1359,build,O,O
1360,contextualized,O,O
1361,representations,O,O
1362,.,O,O
1363,To,O,O
1364,this,O,O
1365,end,O,O
1366,",",O,O
1367,each,O,O
1368,input,O,O
1369,vector,O,O
1370,xis,O,O
1371,multiplied,O,O
1372,by,O,O
1373,the,O,O
1374,corre-,O,O
1375,sponding,O,O
1376,trainable,O,O
1377,matrices,O,O
1378,Q,O,O
1379,",",O,O
1380,K,O,O
1381,",",O,O
1382,andVto,O,O
1383,respec-,O,O
1384,tively,O,O
1385,produce,O,O
1386,query,O,O
1387,(,O,O
1388,q,O,O
1389,),O,O
1390,",",O,O
1391,key,O,O
1392,(,O,O
1393,k,O,O
1394,),O,O
1395,",",O,O
1396,and,O,O
1397,value,O,O
1398,(,O,O
1399,v,O,O
1400,),O,O
1401,vectors,O,O
1402,.,O,O
1403,To,O,O
1404,construct,O,O
1405,the,O,O
1406,output,O,O
1407,representation,O,O
1408,z,O,O
1409,",",O,O
1410,a,O,O
1411,series,O,O
1412,of,O,O
1413,weights,O,B-HyperparameterName
1414,is,O,O
1415,computed,O,O
1416,by,O,O
1417,the,O,O
1418,dot,O,O
1419,product,O,O
1420,of,O,O
1421,qwith,O,O
1422,every,O,O
1423,kin,O,O
1424,all,O,O
1425,time,O,O
1426,steps,O,O
1427,.,O,O
1428,Before,O,O
1429,applying,O,O
1430,a,O,O
1431,softmax,O,O
1432,function,O,O
1433,",",O,O
1434,these,O,O
1435,values,O,O
1436,are,O,O
1437,divided,O,O
1438,by,O,O
1439,a,O,O
1440,scaling,O,O
1441,factor,O,O
1442,and,O,O
1443,then,O,O
1444,added,O,O
1445,to,O,O
1446,an,O,O
1447,attention,O,B-HyperparameterName
1448,mask,O,B-HyperparameterName
1449,vector,O,O
1450,m,O,O
1451,",",O,O
1452,which,O,O
1453,is,O,O
1454,zero,O,B-TaskName
1455,for,O,O
1456,positions,O,O
1457,we,O,O
1458,wish,O,O
1459,to,O,O
1460,attend,O,O
1461,and,O,O
1462,−∞,O,O
1463,(,O,O
1464,in,O,O
1465,practice,O,O
1466,",",O,O
1467,−10000,O,O
1468,),O,O
1469,for,O,O
1470,padded,O,O
1471,tokens,O,B-HyperparameterName
1472,(,O,O
1473,Vaswani,O,O
1474,et,O,O
1475,al,O,O
1476,.,O,O
