id,input,ner_tags,pred
476,language,O,O
477,.,O,O
478,In,O,O
479,addition,O,O
480,",",O,O
481,lots,O,O
482,of,O,O
483,Arabic,O,O
484,dialects,O,O
485,are,O,O
486,very,O,O
487,low,O,O
488,-,O,O
489,resource,O,O
490,and,O,O
491,the,O,O
492,results,O,O
493,from,O,O
494,this,O,O
495,study,O,O
496,can,O,O
497,help,O,O
498,in,O,O
499,building,O,O
500,required,O,O
501,datasets,O,O
502,in,O,O
503,a,O,O
504,smarter,O,O
505,way,O,O
506,.,O,O
507,Among,O,O
508,Arabic,O,O
509,dialects,O,O
510,",",O,O
511,Cairene,O,O
512,Egyptian,O,O
513,Arabic,O,O
514,has,O,O
515,been,O,O
516,selected,O,O
517,",",O,O
518,because,O,O
519,it,O,O
520,is,O,O
521,well,O,O
522,-,O,O
523,studied,O,O
524,and,O,O
525,has,O,O
526,many,O,O
527,resources,O,O
528,and,O,O
529,it,O,O
530,is,O,O
531,appropriate,O,O
532,for,O,O
533,our,O,O
534,DAL,B-MethodName,B-TaskName
535,simulation,O,O
536,experiments,O,O
537,.,O,O
538,It,O,O
539,should,O,O
540,be,O,O
541,noted,O,O
542,that,O,O
543,the,O,O
544,proposed,O,O
545,method,O,O
546,is,O,O
547,not,O,O
548,specific,O,O
549,to,O,O
550,Arabic,O,O
551,and,O,O
552,it,O,O
553,can,O,O
554,be,O,O
555,utilized,O,O
556,on,O,O
557,other,O,O
558,languages,O,O
559,or,O,O
560,dialects,O,O
561,.,O,O
562,As,O,O
563,our,O,O
564,baseline,O,O
565,",",O,O
566,we,O,O
567,have,O,O
568,chosen,O,O
569,a,O,O
570,very,O,O
571,successful,O,O
572,transformer,O,O
573,model,O,O
574,for,O,O
575,character,O,O
576,-,O,B-TaskName
577,level,O,I-TaskName
578,transduction,O,I-TaskName
579,tasks,O,O
580,(,O,O
581,Wu,O,O
582,et,O,O
583,al,O,O
584,.,O,O
585,",",O,O
586,2021,O,O
587,),O,O
588,.,O,O
589,We,O,O
590,propose,O,O
591,a,O,O
592,pool,B-MethodName,O
593,-,I-MethodName,O
594,based,I-MethodName,O
595,DAL,I-MethodName,B-TaskName
596,method,O,O
597,in,O,O
598,this,O,O
599,study,O,O
600,.,O,O
601,To,O,O
602,find,O,O
603,the,O,O
604,most,O,O
605,uncertain,O,O
606,(,O,O
607,informative,O,O
608,),O,O
609,samples,O,O
610,",",O,O
611,we,O,O
612,combine,O,O
613,an,O,O
614,entropy,O,O
615,strategy,O,O
616,with,O,O
617,a,O,O
618,clustering,O,O
619,method,O,O
620,to,O,O
621,keep,O,O
622,an,O,O
623,acceptable,O,O
624,balance,O,O
625,between,O,O
626,the,O,O
627,uncertainty,O,O
628,and,O,O
629,diversity,O,O
630,of,O,O
631,the,O,O
632,chosen,O,O
633,samples,O,O
634,.,O,O
635,The,O,O
636,results,O,O
637,of,O,O
638,our,O,O
639,experiments,O,O
640,on,O,O
641,the,O,O
642,selected,O,O
643,dataset,O,O
644,show,O,O
645,the,O,O
646,success,O,O
647,of,O,O
648,the,O,O
649,proposed,O,O
650,DAL,B-MethodName,B-MethodName
651,method,O,O
652,.,O,O
653,2,O,O
654,Previous,O,O
655,Work,O,O
656,In,O,O
657,this,O,O
658,section,O,O
659,",",O,O
660,we,O,O
661,give,O,O
662,a,O,O
663,brief,O,O
664,review,O,O
665,of,O,O
666,morphological,B-TaskName,B-MethodName
667,inflection,I-TaskName,I-TaskName
668,processing,I-TaskName,I-TaskName
669,methods,O,O
670,.,O,O
671,Some,O,O
672,recent,O,O
673,DAL,B-MethodName,B-MethodName
674,methods,O,O
675,will,O,O
676,also,O,O
677,be,O,O
678,reviewed,O,O
679,.,O,O
680,There,O,O
681,are,O,O
682,several,O,O
683,approaches,O,O
684,for,O,O
685,applying,O,O
686,DL,O,O
687,models,O,O
688,for,O,O
689,the,O,O
690,morphological,B-TaskName,B-TaskName
691,inflection,I-TaskName,I-TaskName
692,problem,O,O
693,(,O,O
694,Yang,O,O
695,et,O,O
696,al,O,O
697,.,O,O
698,",",O,O
699,2022,O,O
700,;,O,O
701,Wehrli,O,O
702,et,O,O
703,al,O,O
704,.,O,O
705,",",O,O
706,2022,O,O
707,;,O,O
708,Batsuren,O,O
709,et,O,O
710,al,O,O
711,.,O,O
712,",",O,O
713,2022,O,O
714,;,O,O
715,Wu,O,O
716,et,O,O
717,al,O,O
718,.,O,O
719,",",O,O
720,2021,O,O
721,;,O,O
722,Dankers,O,O
723,et,O,O
724,al,O,O
725,.,O,O
726,",",O,O
727,2021,O,O
728,),O,O
729,",",O,O
730,which,O,O
731,achieve,O,O
732,successful,O,O
733,results,O,O
734,on,O,O
735,different,O,O
736,languages,O,O
737,.,O,O
738,Most,O,O
739,of,O,O
740,these,O,O
741,models,O,O
742,use,O,O
743,character,O,O
744,-,O,O
745,level,O,O
746,neural,O,O
747,transducers,O,O
748,using,O,O
749,transformers,O,O
750,",",O,O
751,data,O,O
752,augmentation,O,O
753,",",O,O
754,and,O,O
755,recurrent793neural,O,B-MethodName
756,network,O,I-MethodName
757,(,O,O
758,RNN,O,B-MethodName
759,),O,O
760,s,O,O
761,.,O,O
762,In,O,O
763,Arabic,O,O
764,",",O,O
765,there,O,O
766,is,O,O
767,also,O,O
768,much,O,O
769,non,O,O
770,-,O,O
771,neural,O,O
772,research,O,O
773,on,O,O
774,morphological,O,O
775,modeling,O,O
776,",",O,O
777,including,O,O
778,finite,O,O
779,state,O,O
780,technology,O,O
781,(,O,O
782,Habash,O,O
783,and,O,O
784,Rambow,O,O
785,",",O,O
786,2006,O,O
787,),O,O
788,",",O,O
789,precompiled,O,O
790,tabular,O,O
791,morphological,O,O
792,analyzers,O,O
793,(,O,O
794,Buckwalter,O,O
795,",",O,O
796,2002,O,O
797,",",O,O
798,2004,O,O
799,;,O,O
800,Graff,O,O
801,et,O,O
802,al,O,O
803,.,O,O
804,",",O,O
805,2009,O,O
806,;,O,O
807,Taji,O,O
808,et,O,O
809,al,O,O
810,.,O,O
811,",",O,O
812,2018,O,O
813,),O,O
814,",",O,O
815,and,O,O
816,allomorphy,O,O
817,modeling,O,O
818,through,O,O
819,linguistically,O,O
820,descriptive,O,O
821,rules,O,O
822,(,O,O
823,Habash,O,O
824,et,O,O
825,al,O,O
826,.,O,O
827,",",O,O
828,2022,O,O
829,),O,O
830,.,O,O
831,In,O,O
832,recent,O,O
833,years,O,O
834,",",O,O
835,DAL,B-MethodName,B-MethodName
836,has,O,O
837,been,O,O
838,used,O,O
839,in,O,O
840,some,O,O
841,sub,O,O
842,-,O,O
843,fields,O,O
844,of,O,O
845,NLP,O,B-TaskName
846,.,O,O
847,Zhang,O,O
848,et,O,O
849,al,O,O
850,.,O,O
851,(,O,O
852,2017,O,O
853,),O,O
854,and,O,O
855,Ru,O,O
856,et,O,O
857,al,O,O
858,.,O,O
859,(,O,O
860,2020,O,O
861,),O,O
862,achieved,O,O
863,satisfactory,O,O
864,results,O,O
865,in,O,O
866,text,O,B-TaskName
867,classification,O,I-TaskName
868,using,O,O
869,active,O,B-MethodName
870,learning,O,I-MethodName
871,(,O,O
872,AL,O,B-MethodName
873,),O,O
874,with,O,O
875,convolutional,O,O
876,neural,O,B-MethodName
877,networks,O,O
878,and,O,O
879,adversarial,O,O
880,uncertainty,O,O
881,sampling,O,O
882,",",O,O
883,respectively,O,O
884,.,O,O
885,Different,O,O
886,acquisition,O,O
887,functions,O,O
888,using,O,O
889,the,O,O
890,conditional,O,O
891,random,O,O
892,field,O,O
893,model,O,O
894,have,O,O
895,been,O,O
896,applied,O,O
897,in,O,O
898,named,O,B-TaskName
899,entity,O,I-TaskName
900,recognition,O,I-TaskName
901,(,O,O
902,Shen,O,O
903,et,O,O
904,al,O,O
905,.,O,O
906,",",O,O
907,2017,O,O
908,;,O,O
909,Prabhu,O,O
910,et,O,O
911,al,O,O
912,.,O,O
913,",",O,O
914,2019,O,O
915,;,O,O
916,Liu,O,O
917,et,O,O
918,al,O,O
919,.,O,O
920,",",O,O
921,2020,O,O
922,),O,O
923,.,O,O
924,In,O,O
925,neural,O,B-TaskName
926,machine,O,I-TaskName
927,translation,O,I-TaskName
928,",",O,O
929,Peris,O,O
930,and,O,O
931,Casacuberta,O,O
932,(,O,O
933,2018,O,O
934,),O,O
935,used,O,O
936,an,O,O
937,attention,O,O
938,-,O,O
939,based,O,O
940,function,O,O
941,",",O,O
942,and,O,O
943,Liu,O,O
944,et,O,O
945,al,O,O
946,.,O,O
947,(,O,O
948,2018,O,O
949,),O,O
950,applied,O,O
951,a,O,O
952,reinforcement,O,O
953,learning,O,O
954,method,O,O
955,.,O,O
956,In,O,O
957,another,O,O
958,study,O,O
959,",",O,O
960,Zhao,O,O
961,et,O,O
962,al,O,O
963,.,O,O
964,(,O,O
965,2020,O,O
966,),O,O
967,proposed,O,O
968,a,O,O
969,word,O,O
970,frequency,O,O
971,-,O,O
972,based,O,O
973,acquisition,O,O
974,function,O,O
975,to,O,O
976,train,O,O
977,neural,O,B-TaskName
978,machine,O,I-TaskName
979,translation,O,I-TaskName
980,actively,O,O
981,.,O,O
982,More,O,O
983,recently,O,O
984,",",O,O
985,Muradoglu,O,O
986,and,O,O
987,Hulden,O,O
988,(,O,O
989,2022,O,O
990,),O,O
991,introduced,O,O
992,a,O,O
993,DAL,O,B-MethodName
994,method,O,O
995,for,O,O
996,lemma,O,B-TaskName
997,inflection,O,I-TaskName
998,in,O,O
999,written,O,O
1000,modern,O,O
1001,standard,O,O
1002,Arabic,O,O
1003,and,O,O
1004,some,O,O
1005,other,O,O
1006,languages,O,O
1007,.,O,O
1008,Their,O,O
1009,method,O,O
1010,uses,O,O
1011,entropy,O,O
1012,at,O,O
1013,the,O,O
1014,word,O,O
1015,level,O,O
1016,",",O,O
1017,while,O,O
1018,we,O,O
1019,find,O,O
1020,that,O,O
1021,the,O,O
1022,max,O,B-HyperparameterName
1023,of,O,O
1024,character,O,O
1025,-,O,O
1026,level,O,O
1027,entropy,O,O
1028,for,O,O
1029,a,O,O
1030,word,O,O
1031,performs,O,O
1032,best,O,O
1033,.,O,O
1034,3,O,O
1035,Background,O,O
1036,and,O,O
1037,Problem,O,O
1038,Definition,O,O
1039,Morphophonology,O,B-TaskName
1040,involves,O,O
1041,studying,O,O
1042,the,O,O
1043,relationship,O,O
1044,between,O,O
1045,morphology,O,O
1046,and,O,O
1047,phonology,O,O
1048,.,O,O
1049,The,O,O
1050,goal,O,O
1051,is,O,O
1052,to,O,O
1053,analyze,O,O
1054,data,O,O
1055,in,O,O
1056,order,O,O
1057,to,O,O
1058,discover,O,O
1059,the,O,O
1060,underlying,O,O
1061,forms,O,O
1062,and,O,O
1063,ordered,O,O
1064,rules,O,O
1065,that,O,O
1066,explain,O,O
1067,the,O,O
1068,observed,O,O
1069,data,O,O
1070,(,O,O
1071,Hayes,O,O
1072,",",O,O
1073,2008,O,O
1074,),O,O
1075,.,O,O
1076,Arabic,O,O
1077,morphophonology,O,O
1078,is,O,O
1079,particularly,O,O
1080,interesting,O,O
1081,due,O,O
1082,to,O,O
1083,its,O,O
1084,complex,O,O
1085,templatic,O,O
1086,and,O,O
1087,concatenative,O,O
1088,morphology,O,O
1089,.,O,O
1090,Changes,O,O
1091,in,O,O
1092,morphophonology,O,O
1093,can,O,O
1094,happen,O,O
1095,on,O,O
1096,the,O,O
1097,stem,O,O
1098,pattern,O,O
1099,and,O,O
1100,also,O,O
1101,on,O,O
1102,word,O,O
1103,boundaries,O,O
1104,and,O,O
1105,stem,O,O
1106,.,O,O
1107,In,O,O
1108,addition,O,O
1109,",",O,O
1110,phonological,O,O
1111,alterations,O,O
1112,can,O,O
1113,be,O,O
1114,triggered,O,O
1115,by,O,O
1116,the,O,O
1117,addition,O,O
1118,of,O,O
1119,morphemes,O,O
1120,in,O,O
1121,concatenative,O,O
1122,morphology,O,B-TaskName
1123,cases,O,O
1124,.,O,O
1125,The,O,O
1126,main,O,O
1127,problem,O,O
1128,of,O,O
1129,this,O,O
1130,paper,O,O
1131,is,O,O
1132,morphophonological,B-TaskName,B-TaskName
1133,generation,I-TaskName,I-TaskName
1134,",",O,O
1135,in,O,O
1136,which,O,O
1137,an,O,O
1138,underlying,O,O
1139,representation,O,O
1140,(,O,O
1141,UR,O,O
1142,),O,O
1143,is,O,O
1144,transformed,O,O
1145,into,O,O
1146,a,O,O
1147,surface,O,O
1148,form,O,O
1149,(,O,O
1150,SF,O,O
1151,),O,O
1152,.,O,O
1153,We,O,O
1154,also,O,O
1155,investigate,O,O
1156,analysis,O,B-TaskName
1157,",",O,O
1158,i.e.,O,O
1159,",",O,O
1160,learning,O,O
1161,to,O,O
1162,transform,O,O
1163,a,O,O
1164,SF,O,B-TaskName
1165,to,O,O
1166,a,O,O
1167,UR.UR,O,O
1168,SF,O,O
1169,SF,O,O
1170,Arabic,O,O
1171,#,O,O
1172,$,O,O
1173,Ayil,O,O
1174,=,O,O
1175,In,O,O
1176,=,O,O
1177,uh,O,O
1178,#,O,O
1179,#,O,O
1180,$,O,O
1181,aylInu,O,O
1182,#,O,O
1183,#,O,O
1184,HAfiZ,O,O
1185,=,O,O
1186,In,O,O
1187,=,O,O
1188,hA,O,O
1189,#,O,O
1190,#,O,O
1191,HafZinha,O,O
1192,#,O,O
1193,#,O,O
1194,bi,O,O
1195,-,O,O
1196,ti,O,O
1197,-,O,O
1198,SAdf,O,O
1199,=,O,O
1200,U,O,O
1201,#,O,O
1202,#,O,O
1203,bitSadfu,O,O
1204,#,O,O
1205,TRAIN,O,O
1206,All,O,O
1207,"13,170",O,O
1208,OOV,O,O
1209,-DEV,O,O
1210,EV,O,O
1211,AL,O,O
1212,"5,180",O,O
1213,"6,974",O,O
1214,"2,189",O,O
1215,"2,271",O,O
1216,4,O,O
1217,Dataset,O,O
1218,We,O,O
1219,use,O,O
1220,the,O,O
1221,Arabic,B-DatasetName,O
1222,morphophonology,I-DatasetName,O
1223,dataset,O,O
1224,created,O,O
1225,by,O,O
1226,Khalifa,O,O
1227,et,O,O
1228,al,O,O
1229,.,O,O
1230,(,O,O
1231,2022,O,O
1232,),O,O
1233,.,O,O
1234,It,O,O
1235,uses,O,O
1236,a,O,O
1237,broad,O,O
1238,phonemic,O,O
1239,transcription,O,O
1240,.,O,O
1241,They,O,O
1242,generated,O,O
1243,URs,O,O
1244,from,O,O
1245,the,O,O
1246,CALIMA,O,B-DatasetName
1247,morphological,O,O
1248,analyzer,O,O
1249,(,O,O
1250,Habash,O,O
1251,et,O,O
1252,al,O,O
1253,.,O,O
1254,",",O,O
1255,2012,O,O
1256,),O,O
1257,for,O,O
1258,every,O,O
1259,SF,O,B-TaskName
1260,extracted,O,O
1261,from,O,O
1262,the,O,O
1263,ECAL,O,B-DatasetName
1264,dataset,O,O
1265,(,O,O
1266,Kilany,O,O
1267,et,O,O
1268,al,O,O
1269,.,O,O
1270,",",O,O
1271,2002,O,O
1272,),O,O
1273,.,O,O
1274,They,O,O
1275,also,O,O
1276,added,O,O
1277,the,O,O
1278,analyzer,O,O
1279,’s,O,O
1280,segmentation,O,O
1281,to,O,O
1282,the,O,O
1283,UR,O,B-TaskName
1284,part,O,O
1285,",",O,O
1286,delimiting,O,O
1287,word,O,O
1288,boundaries,O,O
1289,with,O,O
1290,#,O,O
1291,",",O,O
1292,prefixes,O,O
1293,with,O,O
1294,−,O,O
1295,",",O,O
1296,and,O,O
1297,suffixes,O,O
1298,with,O,O
1299,=,O,O
1300,.,O,O
1301,The,O,O
1302,dataset,O,O
1303,contains,O,O
1304,pairs,O,O
1305,of,O,O
1306,(,O,O
1307,UR,O,O
1308,",",O,O
1309,SF,O,B-TaskName
1310,),O,O
1311,as,O,O
1312,shown,O,O
1313,in,O,O
1314,Table,O,O
1315,1,O,O
1316,.,O,O
1317,The,O,O
1318,split,O,O
1319,of,O,O
1320,this,O,O
1321,dataset,O,O
1322,is,O,O
1323,based,O,O
1324,on,O,O
1325,ECAL,O,B-DatasetName
1326,’s,O,O
1327,split,O,O
1328,",",O,O
1329,which,O,O
1330,contains,O,O
1331,TRAIN,O,O
1332,",",O,O
1333,DEV,O,O
1334,",",O,O
1335,and,O,O
1336,EV,O,O
1337,AL,O,O
1338,subsets,O,O
1339,.,O,O
1340,Due,O,O
1341,to,O,O
1342,the,O,O
1343,fact,O,O
1344,that,O,O
1345,ECAL,O,B-MethodName
1346,’s,O,O
1347,splits,O,O
1348,are,O,O
1349,based,O,O
1350,on,O,O
1351,running,O,O
1352,texts,O,O
1353,",",O,O
1354,some,O,O
1355,words,O,O
1356,can,O,O
1357,occur,O,O
1358,in,O,O
1359,more,O,O
1360,than,O,O
1361,one,O,O
1362,split,O,O
1363,.,O,O
1364,Therefore,O,O
1365,Khalifa,O,O
1366,et,O,O
1367,al,O,O
1368,.,O,O
1369,(,O,O
1370,2022,O,O
1371,),O,O
1372,also,O,O
1373,created,O,O
1374,subsets,O,O
1375,of,O,O
1376,the,O,O
1377,DEV,O,B-MetricName
1378,and,O,O
1379,EV,O,B-MetricName
1380,AL,O,O
1381,sets,O,O
1382,",",O,O
1383,called,O,O
1384,DEV,O,B-MetricName
1385,-,O,O
1386,OOV,O,O
1387,and,O,O
1388,EV,O,O
1389,AL,O,O
1390,-,O,O
1391,OOV,O,O
1392,",",O,O
1393,which,O,O
1394,only,O,O
1395,contain,O,O
1396,non,O,O
1397,-,O,O
1398,overlapping,O,O
1399,words,O,O
1400,with,O,O
1401,the,O,O
1402,TRAIN,O,O
1403,split,O,O
1404,.,O,O
1405,The,O,O
1406,sizes,O,O
1407,of,O,O
1408,these,O,O
1409,splits,O,O
1410,are,O,O
1411,given,O,O
1412,in,O,O
1413,Table,O,O
1414,2,O,O
1415,.,O,O
1416,5,O,O
1417,Proposed,O,O
1418,Method,O,O
1419,In,O,O
1420,this,O,O
1421,section,O,O
1422,",",O,O
1423,we,O,O
1424,give,O,O
1425,a,O,O
1426,brief,O,O
1427,description,O,O
1428,of,O,O
1429,the,O,O
1430,baseline,O,O
1431,network,O,O
1432,.,O,O
1433,Then,O,O
1434,",",O,O
1435,the,O,O
1436,proposed,O,O
1437,DAL,B-MethodName,B-MethodName
1438,method,O,O
1439,will,O,O
1440,be,O,O
1441,explained,O,O
1442,in,O,O
1443,more,O,O
1444,detail,O,O
1445,.,O,O
1446,5.1,O,O
1447,Baseline,O,O
1448,Network,O,O
1449,We,O,O
1450,have,O,O
1451,done,O,O
1452,several,O,O
1453,experiments,O,O
1454,to,O,O
1455,choose,O,O
1456,the,O,O
1457,most,O,O
1458,successful,O,O
1459,model,O,O
1460,for,O,O
1461,our,O,O
1462,AL,O,B-TaskName
1463,experiments,O,O
1464,.,O,O
1465,Among,O,O
1466,different,O,O
1467,existing,O,O
1468,successful,O,O
1469,approaches,O,O
1470,(,O,O
1471,e.g.,O,O
1472,",",O,O
1473,(,O,O
1474,Wehrli,O,O
1475,et,O,O
